Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Psychlogie, Sciences cognitives;8;6.0;4
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;PASS;4;1.0;0
2024;Biologie/Ecologie,Éducation physique, pratiques et culture sportives;BTS Agricole;1;0.0;0
2024;Biologie/Ecologie,Éducation physique, pratiques et culture sportives;CUPGE;0;0.0;0
2024;Biologie/Ecologie,Éducation physique, pratiques et culture sportives;Licence Géographie;0;0.0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;BUT Production;226;32.0;10
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence AES;634;362.0;79
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Histoire;6048;4758.0;1508
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence MASS;22;8.0;2
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sociologie, Démographie;1669;1141.0;178
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Sciences humaines et sociales;7;3.0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Éducation physique, pratiques et culture sportives;Licence Sciences du langage - Linguistique;9;3.0;1
2024;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Psychlogie, Sciences cognitives;2536;1411.0;728
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Ecoles de Commerce;0;0.0;0
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence Chimie;0;0.0;0
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence Pluri Lettres - Langues - Sciences humaines;2;2.0;0
2024;Langues, littératures et cultures étrangères et régionales,Éducation physique, pratiques et culture sportives;Licence Géographie;0;0.0;0
2024;Langues, littératures et cultures étrangères et régionales,Éducation physique, pratiques et culture sportives;Licence MASS;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Art;Ecoles de Commerce;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Art;Licence MASS;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Art;Licence Sciences politiques;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Agricole;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Production;3;2.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence LEA;5;5.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Lettres - Langues - Sciences humaines;14;9.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence STAPS;6;3.0;1
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de gestion;1;1.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences du langage - Linguistique;4;3.0;1
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences juridiques;25;22.0;14
2024;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;BTS Service;43;28.0;9
2024;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;Licence LEA;32;25.0;5
2024;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence AES;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Formation générale aux métiers de l ingénieur;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Histoire;5;4.0;2
2024;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;CPGE ECG;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;Licence Sciences de la vie, biologie, santé;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;DCG;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;Licence Langues et littératures étrangères;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;BTS Agricole;3;1.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Ecoles d'ingénieurs;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences économiques - Gestion;4;3.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Pluri Sciences;2;1.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Sciences de l univers, de la terre, de l espace;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Sciences juridiques;2;1.0;1
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Ensemble des bacheliers;1;1.0;1
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Formations des écoles nationales vétérinaires;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence LEA;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence Sciences économiques;0;0.0;0
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;BUT Production;48;16.0;6
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;21;15.0;6
2024;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Lettres - Sciences du langage - Arts;27;19.0;3
2024;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences du langage - Linguistique;173;120.0;25
2024;Mathématiques Spécialité,Numérique et Sciences Informatiques;Ensemble des bacheliers;12505;11725.0;10361
2024;Mathématiques Spécialité,Numérique et Sciences Informatiques;Licence Géographie;60;54.0;12
2024;Mathématiques Spécialité,Numérique et Sciences Informatiques;Licence Philosophie, Epistémologie;76;42.0;10
