cpge_type,panier_name,school_name,city,department,taux_integration_pct,moyenne_bac,moyenne_multi_ans_pct,rang_multi_ans,parcoursup
ECG - Mathématiques approfondies + HGG,HEC,Montaigne,Bordeaux,33,3.5,,1.2,33e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Lavoisier,Paris,75,2.6,,0.8,36e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Corneille,Rouen,76,2,,0.9,34e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Kléber,Strasbourg,67,2,,1.9,26e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Ampère,Lyon,69,1.8,,2.3,25e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Baimbridge,Pointe-à-Pitre,971,0,,0,39e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Carnot,Paris,75,0,,0.8,36e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Chaptal,Paris,75,0,,0.9,34e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Clemenceau,Nantes,44,0,,1.6,31e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Descartes,Antony,92,0,,0,39e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Descartes,Tours,37,0,,0.8,36e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Fabert,Metz,57,0,,0,39e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Faidherbe,Lille,59,0,,0,39e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,First Preparatory Classes of High Schools Private,Meknès,,0,,0,39e/89,non
ECG - Mathématiques approfondies + HGG,HEC,Hélène-Boucher,Paris,75,0,,0,39e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Joffre,Montpellier,34,0,,3,23e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,La Bruyère,Versailles,78,0,,0,39e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Lakanal,Sceaux,92,0,,7.9,11e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Louis-Pergaud,Besançon,25,0,,1.5,32e/89,oui
